post_id,user,topic,type,likes,comments,shares,timestamp
03RWuUVYMbCV3a26TwmG,bigdata_queen,#DataScience,image,697,23,93,2026-01-29 09:15:43
03tiz2DGEF475uTDLBll,tech_guru21,#DeepLearning,image,989,43,121,2026-01-29 08:08:24
042gNkbcs0jIg8VPK1dy,bigdata_queen,#Programming,text,103,64,190,2026-01-29 09:55:59
04qB5IUDQ6jwYy1csN8Y,john_doe,#BigData,image,856,58,101,2026-01-29 09:04:22
04qP6Hjmx4hRA2a0r1qe,charlie.dev,#AI,video,424,284,52,2026-02-06 08:03:18
05vDC37UVIPvNH6W5lzk,data_ninja,#AI,text,1117,214,8,2026-02-06 08:52:21
07bLlAqDezsqEMPxN7dV,charlie.dev,#Programming,image,885,59,25,2026-01-29 10:17:58
07kLfZLvrSN8lLEUUmWH,data_ninja,#DeepLearning,video,473,44,136,2026-02-06 08:18:29
084pOEOGQfi9hS28ziZB,john_doe,#TechNews,text,721,298,69,2026-01-29 08:33:06
0893Z6NKTugDK4MH5A85,charlie.dev,#Cybersecurity,video,118,179,171,2026-02-06 08:13:06
08Rb64GGmjgUWYzan2em,cyber_sam,#DeepLearning,image,918,33,1,2026-02-06 08:36:41
08zLlxyn5NDS6Qv7R719,emma.smith,#DataScience,video,130,59,120,2026-01-29 09:38:31
09i0caywFbF1U4RRSeJS,cyber_sam,#TechNews,image,144,25,197,2026-01-18 15:18:23
09rWxwD9ZSWtBfjzbA1H,ai_expert,#DeepLearning,video,1097,161,200,2026-01-29 08:55:50
0AdeOYWzWSyS5YTmM93i,emma.smith,#Innovation,text,285,112,73,2026-01-29 09:27:20
0BjKgBJbMth2ao9AyC48,bigdata_queen,#AI,video,796,206,166,2026-01-29 09:25:34
0BnJ8Kg5v1d6UOrkJbNj,data_ninja,#TechNews,video,1021,122,183,2026-01-29 10:02:19
0C3WGQXlwNabrsC1zHro,charlie.dev,#TechNews,video,1031,210,72,2026-01-29 08:35:37
0CuSdWGZVVhZGm9Xn91C,cloud_master,#Programming,image,953,207,29,2026-01-29 08:34:08
0DirwTy6epXQfvHywWew,data_ninja,#TechNews,video,693,282,58,2026-01-29 11:59:23
0Djs2ERmykkB0hgenOcc,emma.smith,#CloudComputing,text,634,157,22,2026-01-29 10:16:05
0FOuxAKI6RrpTIYH23u1,bigdata_queen,#Innovation,video,1197,93,86,2026-01-29 08:59:02
0FxdWiY0cg6eA1km9YRT,cyber_sam,#MachineLearning,image,426,242,19,2026-01-29 07:51:13
0HQlNQsAypMzMIcbCdq8,data_ninja,#AI,image,451,17,77,2026-01-29 08:51:19
0JgZHAmt750n5P3wMbzT,bigdata_queen,#DeepLearning,text,914,99,1,2026-01-29 10:26:35
0KPvcGhqJIzU7RcS2t4I,alice_w,#Cybersecurity,text,1149,253,161,2026-01-29 08:52:59
0KUUXw7XuEQlmSb7qPCE,bigdata_queen,#TechNews,video,216,33,10,2026-01-29 08:41:30
0LCs15vBHxOOHLp4kRjp,cloud_master,#CloudComputing,image,439,252,133,2026-01-29 09:49:04
0LN34DB04ohHeMGIITrT,ai_expert,#DataScience,text,1173,90,197,2026-01-29 09:18:00
0NlYVYOWoV6hpb7P8olM,bigdata_queen,#DeepLearning,video,992,263,95,2026-01-29 08:14:12
0O6bp2kve7sx6G5HiJdE,alice_w,#DeepLearning,video,242,16,55,2026-01-29 09:06:49
0OrL0SDWlv4DMXouur4e,charlie.dev,#BigData,text,210,48,139,2026-02-06 08:35:00
0PGbuoj89yuYCrqjJB7j,cloud_master,#Programming,image,591,205,147,2026-02-06 08:33:17
0RoqbbMAVeI0jW69a7hQ,cloud_master,#AI,text,1001,157,5,2026-01-29 08:13:28
0S4469GwHgPQJqR11YT9,alice_w,#Cybersecurity,image,118,178,39,2026-01-29 08:21:59
0SI2dj4Noogts89sxGxR,cyber_sam,#Programming,text,1010,251,105,2026-01-29 07:54:19
0SRxxXGBWbfF8DjxnZts,data_ninja,#Innovation,text,1142,176,199,2026-02-06 09:12:56
0THvqzSEpxf7FJUaV0AL,charlie.dev,#MachineLearning,image,484,69,98,2026-01-29 11:59:12
